t1,t2,s1,s2,yd1,yd2,to1,to2,home_team,week
Jets,Colts,29,15,293,286,0,2.0,Colts,16
Cowboys,Redskins,17,0,393,208,1,1.0,Redskins,16
Bears,Vikings,36,30,363,423,1,2.0,Bears,16
49ers,Rams,28,6,329,109,0,0.0,Rams,17
Bills,Colts,30,7,403,157,0,3.0,Bills,17
Browns,Jaguars,23,17,300,328,1,1.0,Browns,17
Steelers,Dolphins,30,24,403,303,2,3.0,Dolphins,17
Texans,Patriots,34,27,439,317,1,2.0,Texans,17
Bears,Lions,37,23,418,349,0,2.0,Lions,17
Falcons,Buccaneers,20,10,397,206,3,2.0,Buccaneers,17
Panthers,Saints,23,10,327,213,0,3.0,Panthers,17
Vikings,Giants,44,7,487,181,0,2.0,Vikings,17
Chargers,Redskins,23,20,364,341,1,0.0,Chargers,17
Packers,Cardinals,33,7,345,187,1,3.0,Cardinals,17
Cowboys,Eagles,24,0,474,228,1,1.0,Cowboys,17
Chiefs,Broncos,44,24,524,512,2,3.0,Broncos,17
Ravens,Raiders,21,13,330,325,0,2.0,Raiders,17
Titans,Seahawks,17,13,304,309,2,1.0,Seahawks,17
Jets,Bengals,37,0,320,72,0,3.0,Jets,17
