state,submission_year,submission_month,new_case,new_death,population,pnew_case,pnew_death
ME,2020,6,945.0,16.0,1362359,0.0006936497648563999,1.174433464307132e-05
ME,2020,7,643.0,18.0,1362359,0.00047197544846842865,1.3212376473455234e-05
ME,2020,8,611.0,9.0,1362359,0.000448486779182286,6.606188236727617e-06
ME,2020,9,883.0,10.0,1362359,0.0006481404681144984,7.340209151919575e-06
ME,2020,10,1237.0,5.0,1362359,0.0009079838720924514,3.6701045759597874e-06
ME,2020,11,5308.0,67.0,1362359,0.00389618301783891,4.917940131786115e-05
ME,2020,12,12225.0,133.0,1362359,0.00897340568822168,9.762478172053035e-05
ME,2021,1,15341.0,248.0,1362359,0.011260614859959819,0.00018203718696760545
ME,2021,2,5221.0,108.0,1362359,0.00383232319821721,7.927425884073141e-05
ME,2021,3,6025.0,40.0,1362359,0.004422476014031544,2.93608366076783e-05
ME,2021,4,10742.0,41.0,1362359,0.007884852670992008,3.0094857522870258e-05
ME,2021,5,6289.0,41.0,1362359,0.00461625753564222,3.0094857522870258e-05
ME,2021,6,1235.0,34.0,1362359,0.0009065158302620675,2.4956711116526554e-05
ME,2021,7,1409.0,41.0,1362359,0.001034235469505468,3.0094857522870258e-05
ME,2021,8,5826.0,34.0,1362359,0.004276405851908345,2.4956711116526554e-05
ME,2021,9,14438.0,90.0,1362359,0.010597793973541481,6.606188236727617e-05
ME,2021,10,13532.0,143.0,1362359,0.00993277102437757,0.00010496499087244992
ME,2021,11,16341.0,160.0,1362359,0.011994635775151778,0.0001174433464307132
ME,2021,12,12282.0,51.0,1362359,0.009015244880387623,3.743506667478983e-05
MI,2020,1,0.0,0.0,10077331,0.0,0.0
MI,2020,2,0.0,0.0,10077331,0.0,0.0
MI,2020,3,19903.0,558.0,10077331,0.001975026919330128,5.537180430016638e-05
MI,2020,4,34532.0,3944.0,10077331,0.0034267009786619097,0.0003913734698205309
MI,2020,5,43686.0,1430.0,10077331,0.004335076420532381,0.0001419026525972006
MI,2020,6,27082.0,377.0,10077331,0.0026874179284177525,3.741069932108015e-05
MI,2020,7,41363.0,236.0,10077331,0.004104559034530076,2.341889930974779e-05
MI,2020,8,39178.0,290.0,10077331,0.003887735750666521,2.8777461016215504e-05
MI,2020,9,36796.0,290.0,10077331,0.003651363639836778,2.8777461016215504e-05
MI,2020,10,66505.0,672.0,10077331,0.006599465672011766,6.668432345826489e-05
MI,2020,11,173167.0,2377.0,10077331,0.017183815833775828,0.00023587594770877327
MI,2020,12,107516.0,3642.0,10077331,0.010669094822825607,0.0003614052173139892
MI,2021,1,63934.0,2008.0,10077331,0.006344338595209387,0.00019925910938124391
MI,2021,2,34918.0,820.0,10077331,0.0034650047716007345,8.137075183895419e-05
MI,2021,3,110358.0,661.0,10077331,0.01095111394078452,6.559276459213259e-05
MI,2021,4,157899.0,1862.0,10077331,0.01566873212758418,0.00018477114624894232
MI,2021,5,39926.0,1440.0,10077331,0.003961961753563518,0.00014289497883913905
MI,2021,6,6259.0,438.0,10077331,0.0006210969948292857,4.34638893969048e-05
MI,2021,7,13080.0,160.0,10077331,0.001297962724455513,1.587721987101545e-05
MI,2021,8,46562.0,231.0,10077331,0.004620469447713884,2.2922736188778557e-05
MI,2021,9,91984.0,392.0,10077331,0.009127813703846783,3.8899188683987855e-05
MI,2021,10,120455.0,694.0,10077331,0.011953065747269788,6.886744119052952e-05
MI,2021,11,209153.0,1057.0,10077331,0.02075480104801559,0.00010488888377289582
MI,2021,12,107644.0,851.0,10077331,0.01068179659872242,8.444696318896343e-05
MN,2020,1,0.0,0.0,5706494,0.0,0.0
MN,2020,2,0.0,0.0,5706494,0.0,0.0
MN,2020,3,689.0,17.0,5706494,0.00012073963452866156,2.9790621001266278e-06
MN,2020,4,4447.0,326.0,5706494,0.0007792875976037125,5.7127896743604744e-05
MN,2020,5,20072.0,717.0,5706494,0.003517396145514216,0.0001256463250465172
MN,2020,6,11508.0,422.0,5706494,0.0020166498028386607,7.395083566196688e-05
MN,2020,7,18472.0,164.0,5706494,0.0032370138302081804,2.8739187318868645e-05
MN,2020,8,20676.0,220.0,5706494,0.0036232404695422443,3.855256835457989e-05
MN,2020,9,23270.0,223.0,5706494,0.0040778102982321545,3.90782851957787e-05
MN,2020,10,49338.0,422.0,5706494,0.008645939170355738,7.395083566196688e-05
MN,2020,11,170291.0,1141.0,5706494,0.029841615534862562,0.0001999476386026166
MN,2020,12,96539.0,1730.0,5706494,0.016917392710830852,0.00030316337842465095
MN,2021,1,46505.0,886.0,5706494,0.00814948723331699,0.0001552617071007172
MN,2021,2,22787.0,283.0,5706494,0.003993169886799145,4.9592622019755035e-05
MN,2021,3,34044.0,237.0,5706494,0.005965834713924171,4.153163045470651e-05
MN,2021,4,56283.0,311.0,5706494,0.009862973657730999,5.449931253761066e-05
MN,2021,5,25638.0,282.0,5706494,0.004492776124885087,4.941738307268876e-05
MN,2021,6,3915.0,168.0,5706494,0.0006860604777644558,2.944014310713373e-05
MN,2021,7,7543.0,76.0,5706494,0.0013218273777208913,1.3318159977036689e-05
MN,2021,8,37056.0,136.0,5706494,0.006493654422487783,2.3832496801013022e-05
MN,2021,9,61130.0,296.0,5706494,0.01071235683416122,5.187072833161658e-05
